"flight_name","capacity","fuel","airline","manufacture_year","range_km","status"
"FL49077","389","46.29","Walker-Green Airlines","1995","12840","Retiré"
"FL22798","373","12.16","Fisher, Johnson and Gould Airlines","2018","5345","Maintenance"
"FL54721","327","32.5","Fox, Young and Jacobs Airlines","2008","5481","Retiré"
"FL65214","284","48.05","Nguyen, Edwards and Alvarez Airlines","2008","12710","Retiré"
"FL69003","338","24.22","Morris-Young Airlines","1993","8379","Maintenance"
"FL39683","338","78.82","Wells-Vaughan Airlines","2011","3814","Retiré"
"FL69875","169","57.64","Miller-Durham Airlines","2016","4133","Actif"
"FL62830","208","98.64","Lloyd-Garcia Airlines","2002","8583","Retiré"
"FL99675","144","10.01","Mcdonald Inc Airlines","2018","4630","Actif"
"FL30519","400","73.72","Thompson-Smith Airlines","2020","3161","Actif"
"FL27776","359","89.08","Jensen, Moreno and Blevins Airlines","1991","3108","Actif"
"FL12926","284","11.87","Henry and Sons Airlines","2012","9350","Maintenance"
"FL47380","211","86.69","Arroyo Group Airlines","2020","14348","Retiré"
"FL98705","102","36.83","Hernandez-Fitzpatrick Airlines","2024","12106","Actif"
"FL83703","314","52.72","Elliott LLC Airlines","2009","13710","Retiré"
"FL54930","241","19.93","Barber Inc Airlines","2025","14958","Actif"
"FL71961","351","14.43","Johnson, Johnson and Barrett Airlines","2003","8457","Maintenance"
"FL14574","327","98.18","Barnes, Ali and Dean Airlines","1994","5108","Maintenance"
"FL76700","365","25.36","Hernandez, Patterson and Nguyen Airlines","1994","4481","Maintenance"
"FL94479","249","19.12","Bauer, Bautista and Miller Airlines","2003","8985","Actif"
"FL10882","228","46.3","Hess Ltd Airlines","2003","11532","Retiré"
"FL28337","165","93.91","Morris Group Airlines","2006","5916","Maintenance"
"FL73144","146","98.87","Bell-King Airlines","2007","6454","Maintenance"
"FL23152","387","94.77","Pham-Green Airlines","2013","3996","Actif"
"FL45777","337","45.34","Hansen PLC Airlines","1999","2411","Retiré"
"FL53426","390","24.14","Baker-Smith Airlines","2021","14684","Actif"
"FL55036","126","30.0","Barton LLC Airlines","1998","12861","Retiré"
"FL20779","398","24.18","Lloyd, Jensen and Glass Airlines","1991","6487","Retiré"
"FL09819","232","17.48","Martinez-Leon Airlines","2006","8800","Actif"
"FL20286","281","57.77","Stevens PLC Airlines","1991","8035","Maintenance"
"FL50437","291","11.41","Cruz, Gill and Jones Airlines","2010","6699","Retiré"
"FL57625","348","49.4","Smith, Barajas and Colon Airlines","2017","2331","Maintenance"
"FL30168","291","13.81","Young-Benton Airlines","2004","8680","Actif"
"FL52733","238","89.06","Payne-Long Airlines","1997","4920","Actif"
"FL15641","388","11.96","Ashley-Reid Airlines","2014","8292","Retiré"
"FL80849","333","86.7","Sanchez-Berg Airlines","2001","11579","Maintenance"
"FL16372","269","10.68","Adams Group Airlines","2014","2647","Actif"
"FL90180","232","77.72","Schmidt-Barnett Airlines","2006","14551","Actif"
"FL85692","148","90.95","Booker and Sons Airlines","1993","6444","Retiré"
"FL76699","326","21.44","Strong PLC Airlines","2006","12531","Maintenance"
"FL52983","151","27.96","Smith-Taylor Airlines","1990","13351","Retiré"
"FL14185","262","90.92","Williams, Boyd and Johnson Airlines","1995","7169","Actif"
"FL64682","210","67.66","Hughes-Rowe Airlines","1997","9528","Maintenance"
"FL44167","258","20.07","Wells LLC Airlines","1990","5224","Actif"
"FL80752","233","97.41","Duncan and Sons Airlines","2025","6301","Actif"
"FL52311","260","24.22","Jennings-Parker Airlines","2001","8798","Retiré"
"FL49977","168","59.61","Fernandez-Hernandez Airlines","2006","9196","Actif"
"FL50052","223","88.5","Martinez-Carlson Airlines","2024","3163","Maintenance"
"FL20546","274","61.24","Wright-Roberts Airlines","2014","7435","Actif"
"FL35913","231","76.22","Pollard LLC Airlines","2008","8524","Retiré"
"FL17586","312","55.4","Wilson, Adams and Barton Airlines","2009","14924","Actif"
"FL69784","125","21.12","Snow-Silva Airlines","1995","8529","Maintenance"
"FL84269","332","48.64","Green, Villarreal and Roberts Airlines","2014","7576","Actif"
"FL86575","336","24.65","Walker, Zhang and Cochran Airlines","2003","7487","Actif"
"FL61201","218","27.51","Bowen LLC Airlines","2020","5806","Maintenance"
"FL17575","150","53.0","Owens, Sampson and Green Airlines","2020","12493","Maintenance"
"FL07502","165","71.93","Dunn-Rodriguez Airlines","2020","11089","Retiré"
"FL25193","337","29.19","Clark-Richards Airlines","1993","14008","Actif"
"FL89680","290","26.56","Vargas-Logan Airlines","2003","13507","Retiré"
"FL71692","362","77.95","Moore Group Airlines","2022","2871","Actif"
"FL25690","278","43.16","Henry, Mathis and Leonard Airlines","1999","2565","Maintenance"
"FL30358","388","48.44","Jones-Flores Airlines","2023","3198","Actif"
"FL80233","368","18.02","Mckenzie Inc Airlines","2004","9295","Retiré"
"FL97483","169","67.78","Mcdowell-Peters Airlines","2014","9562","Actif"
"FL83771","293","56.8","Martinez Group Airlines","2004","6922","Retiré"
"FL89310","104","13.3","Serrano, Sanders and Christian Airlines","1990","2090","Actif"
"FL19940","247","39.44","Matthews-Parker Airlines","1994","8561","Maintenance"
"FL34326","243","58.31","Ayala-Bernard Airlines","2003","4811","Retiré"
"FL92128","375","47.45","Johnston Group Airlines","2003","8625","Actif"
"FL90356","313","20.07","Weber Group Airlines","2004","3882","Retiré"
"FL09681","264","62.98","Holmes-Kennedy Airlines","2019","9648","Maintenance"
"FL03135","314","61.95","Ramos, Huffman and Charles Airlines","1990","6944","Actif"
"FL03595","254","59.84","Castillo-Garrison Airlines","1996","4968","Actif"
"FL35756","315","76.73","Mann PLC Airlines","2008","5895","Actif"
"FL05211","331","44.6","Ramsey and Sons Airlines","2006","5254","Actif"
"FL54057","142","24.07","Boyer Ltd Airlines","2007","8725","Retiré"
"FL51891","210","77.7","Chambers-Vasquez Airlines","1994","11031","Maintenance"
"FL95597","328","17.79","Rios-White Airlines","1999","13489","Actif"
"FL87963","347","11.41","Smith-Perkins Airlines","1990","2947","Retiré"
"FL64295","191","11.78","Velazquez LLC Airlines","2001","2291","Maintenance"
"FL57320","141","87.26","Marsh Inc Airlines","1993","5027","Retiré"
"FL79117","237","88.54","Hudson-Dougherty Airlines","1990","10476","Retiré"
"FL05521","388","95.01","Huerta-Munoz Airlines","2012","5475","Maintenance"
"FL13252","389","66.61","Collier Inc Airlines","2004","3470","Retiré"
"FL75540","336","67.66","Huynh, Jacobs and Frank Airlines","2008","14846","Retiré"
"FL11723","339","77.17","Morris-Adams Airlines","2005","7098","Retiré"
"FL29302","111","54.44","Payne, Hernandez and Burton Airlines","2004","12599","Retiré"
"FL05816","114","93.06","Carey Ltd Airlines","2007","2379","Maintenance"
"FL26655","278","15.88","Gonzalez, Huff and Edwards Airlines","2003","6445","Retiré"
"FL36893","287","67.32","Hull, Smith and Ball Airlines","2012","11098","Retiré"
"FL67596","285","15.6","Bailey-Lowery Airlines","2025","6927","Maintenance"
"FL96691","202","86.46","Russell and Sons Airlines","1993","14283","Maintenance"
"FL72037","315","31.68","Richardson LLC Airlines","2004","14890","Maintenance"
"FL28878","350","97.66","Chavez-Hanson Airlines","1998","2306","Retiré"
"FL74078","228","64.56","Terry LLC Airlines","1997","11815","Maintenance"
"FL77005","304","70.5","Williams Ltd Airlines","2010","12218","Maintenance"
"FL10906","282","96.28","Irwin-Frye Airlines","2002","8107","Retiré"
"FL50592","313","81.55","Nixon Inc Airlines","1997","2291","Maintenance"
"FL28007","151","33.63","Hansen-Walters Airlines","2023","8986","Retiré"
"FL21891","112","42.77","Davis Inc Airlines","2022","13323","Actif"
"FL78388","112","57.7","Henderson-Smith Airlines","1996","13708","Actif"
"FL51144","141","76.75","Myers, Wood and Weiss Airlines","2017","4689","Retiré"
"FL45600","344","74.68","Cox Group Airlines","2021","12838","Actif"
"FL13106","292","55.35","Ferrell-Leonard Airlines","1993","3591","Retiré"
"FL97136","220","44.09","Johnson-Haynes Airlines","2025","11371","Actif"
"FL28488","379","38.22","Avila, Ho and Cobb Airlines","2013","2784","Maintenance"
"FL01173","184","39.62","Smith Ltd Airlines","1991","9105","Maintenance"
"FL71653","205","89.64","Park, Payne and Hunt Airlines","2015","10759","Retiré"
"FL21818","204","41.3","Robinson Inc Airlines","2021","12375","Retiré"
"FL31252","366","91.33","Sparks-Hendrix Airlines","1990","6941","Actif"
"FL76798","308","52.44","Richardson, Brown and Oneill Airlines","1996","5624","Actif"
"FL97838","382","24.54","Jenkins Ltd Airlines","2019","13544","Retiré"
"FL13988","360","55.69","Mercer, Keller and Gutierrez Airlines","1998","3150","Retiré"
"FL30910","135","35.57","Lutz Inc Airlines","2025","13528","Actif"
"FL24424","182","31.52","Rhodes, Kemp and Weaver Airlines","2010","6067","Retiré"
"FL47417","211","67.53","Evans, Mathis and Lee Airlines","2004","10563","Maintenance"
"FL69597","337","12.79","Meadows, Lee and Burgess Airlines","2005","6939","Retiré"
"FL79696","161","32.82","Kent-Gomez Airlines","2012","3161","Retiré"
"FL65683","239","14.96","Peters, Tran and Hawkins Airlines","1992","9197","Maintenance"
"FL12482","127","52.51","Duncan-Perry Airlines","2018","8967","Maintenance"
"FL06805","381","15.75","Pham, Hernandez and Nunez Airlines","2020","2447","Retiré"
"FL10460","128","14.83","Gonzales Inc Airlines","1995","3141","Retiré"
"FL75723","211","35.3","Carter PLC Airlines","2004","13686","Maintenance"
"FL14040","253","18.3","Ball LLC Airlines","2021","9631","Maintenance"
"FL89780","144","91.66","Wells Inc Airlines","2006","10583","Actif"
"FL14007","272","11.03","Pitts-Wolfe Airlines","2020","9084","Actif"
"FL68453","200","32.17","Johnson, Davis and Avila Airlines","2011","8955","Actif"
"FL84769","330","49.84","Evans-Shaw Airlines","1998","8107","Actif"
"FL88057","318","13.34","Peterson Group Airlines","2014","2923","Maintenance"
"FL35373","231","13.54","Davis-Bond Airlines","2024","2233","Retiré"
"FL45212","336","90.1","Chan Group Airlines","1997","9628","Maintenance"
"FL55915","324","44.65","Lucas, Ortiz and Fitzgerald Airlines","2005","9002","Maintenance"
"FL89102","248","86.01","Wright Group Airlines","2004","7294","Retiré"
"FL40437","378","28.57","Burton, Hicks and Gardner Airlines","2013","13291","Actif"
"FL42407","117","58.31","Johnson, Taylor and Daniels Airlines","2000","13622","Maintenance"
"FL37227","199","30.93","Smith and Sons Airlines","2002","5228","Actif"
"FL68444","261","57.72","Cabrera PLC Airlines","2013","8366","Retiré"
"FL41721","158","21.16","Cisneros-Lin Airlines","1993","11054","Maintenance"
"FL91439","318","37.24","Stevenson, Johnson and Wilson Airlines","2020","6105","Actif"
"FL62756","191","56.07","Matthews PLC Airlines","1994","12677","Actif"
"FL21193","376","11.19","Smith and Sons Airlines","2001","5094","Retiré"
"FL67520","378","89.1","Turner, Mendez and Harrison Airlines","2005","8889","Actif"
"FL66742","136","71.01","Armstrong Group Airlines","2025","8528","Retiré"
"FL65538","309","60.51","Warner, Ayala and Sullivan Airlines","2010","12989","Retiré"
"FL85201","305","24.52","Martinez Group Airlines","1995","12698","Actif"
"FL57783","138","62.31","Herrera Ltd Airlines","2002","12385","Actif"
"FL50291","381","16.21","Murillo-Brown Airlines","2006","6651","Retiré"
"FL40895","257","80.56","King-Hurst Airlines","2022","8413","Actif"
"FL46236","327","20.86","Allen-Huff Airlines","1995","7415","Actif"
"FL91914","128","71.96","Daugherty-Mclean Airlines","1991","4856","Actif"
"FL46061","275","54.23","West-Arias Airlines","2021","3573","Actif"
"FL47992","192","92.12","Bell-Ryan Airlines","1993","14250","Actif"
"FL05522","234","32.01","Morton-Ball Airlines","2004","10163","Maintenance"
"FL57163","352","99.7","Johnson, Ross and Wilson Airlines","1992","9381","Maintenance"
"FL46097","130","93.81","Wilson-Castro Airlines","2003","7166","Actif"
"FL44028","183","31.45","Ramos-Evans Airlines","2009","3758","Retiré"
"FL05387","170","65.76","Skinner-Ruiz Airlines","2019","9823","Retiré"
"FL60771","342","67.21","West, Carter and Mejia Airlines","2004","14905","Actif"
"FL16264","121","83.98","Fernandez-Bush Airlines","2021","7853","Retiré"
"FL58242","283","19.23","Bennett PLC Airlines","2005","4194","Actif"
"FL88811","150","83.8","Wade, Davidson and Davis Airlines","2014","11122","Retiré"
"FL44937","136","78.79","Cortez-Velasquez Airlines","2018","6101","Actif"
"FL92419","209","22.71","Melton Ltd Airlines","1992","9203","Maintenance"
"FL64456","303","78.74","Ramos, Chavez and Kelley Airlines","2016","13613","Actif"
"FL05868","242","46.24","Fox-Chen Airlines","2025","2743","Maintenance"
"FL47949","182","32.71","Fuentes, Morales and Rodriguez Airlines","2011","6103","Retiré"
"FL36976","206","64.45","Elliott Ltd Airlines","2005","11002","Retiré"
"FL41254","274","45.78","Neal-Clark Airlines","2000","7578","Actif"
"FL96397","317","95.73","Bennett-Hill Airlines","1990","2820","Retiré"
"FL57731","228","16.9","Wright PLC Airlines","2005","13573","Actif"
"FL12060","256","19.88","Mason, Castillo and Collins Airlines","2015","10578","Maintenance"
"FL38446","366","12.08","Miller, Hill and Davis Airlines","1993","12117","Maintenance"
"FL61870","172","96.51","Daniel Ltd Airlines","2008","9371","Actif"
"FL10192","305","56.46","Carr, Hancock and Fox Airlines","2007","13685","Maintenance"
"FL23171","376","36.03","Hernandez-Bailey Airlines","2002","11760","Actif"
"FL67490","277","49.72","Smith Group Airlines","2015","7220","Retiré"
"FL49198","173","60.87","Orozco, House and Barker Airlines","2025","7638","Maintenance"
"FL89153","367","58.8","Love-Hernandez Airlines","2004","8550","Maintenance"
"FL86557","296","49.85","Cooley-Dixon Airlines","2013","5793","Maintenance"
"FL12116","397","77.75","Blake-Miller Airlines","2016","11526","Actif"
"FL93561","388","58.83","Bishop, Le and Miller Airlines","1997","6466","Retiré"
"FL78391","222","79.14","Vasquez, Bush and Leon Airlines","2004","13199","Retiré"
"FL25982","277","31.05","Tate, Dixon and George Airlines","1997","6683","Retiré"
"FL13734","165","64.05","Noble, Rodriguez and White Airlines","1996","8383","Actif"
"FL02310","216","81.78","Austin Inc Airlines","2019","3044","Maintenance"
"FL19152","171","59.93","Day-Blake Airlines","1992","9570","Retiré"
"FL61038","342","22.1","Roberts Group Airlines","2006","11160","Maintenance"
"FL62159","398","48.79","Reynolds, Smith and Williams Airlines","1994","13318","Maintenance"
"FL63054","158","15.82","Wolf Ltd Airlines","2002","6341","Actif"
"FL03440","107","55.01","Martin-Evans Airlines","2001","8020","Actif"
"FL77729","199","13.89","Price-Pena Airlines","1995","6728","Actif"
"FL32620","157","76.72","Gonzalez PLC Airlines","2021","3888","Retiré"
"FL97332","333","76.91","Harris, Stein and Phelps Airlines","2018","3535","Retiré"
"FL42109","158","26.22","Zuniga, Flores and Crawford Airlines","1997","10427","Actif"
"FL23752","249","90.17","Walters, Craig and Singh Airlines","2000","13748","Actif"
"FL07436","253","48.51","Campbell, Johnson and Lawrence Airlines","2025","14119","Maintenance"
"FL95957","329","57.5","Odom PLC Airlines","2001","10677","Actif"
"FL66852","370","40.3","Martin, Singleton and Robertson Airlines","2011","10785","Retiré"
"FL97547","249","45.38","Harris LLC Airlines","2019","2279","Actif"
"FL64937","156","54.6","Richardson, Dixon and Ward Airlines","1991","3685","Actif"
"FL08434","314","26.91","Ortiz LLC Airlines","2015","6415","Retiré"
"FL54256","105","50.73","Schroeder, Ross and Brown Airlines","2008","14302","Maintenance"
"FL64691","283","24.9","Smith-Jacobs Airlines","2007","2758","Retiré"
"FL52704","115","16.09","Cantu, Gray and Johnson Airlines","1996","10733","Actif"
"FL02664","366","92.45","Leach Group Airlines","2016","2366","Actif"
"FL13898","281","62.82","Pacheco, James and Burke Airlines","1998","14169","Maintenance"
"FL26828","245","26.98","Baker Inc Airlines","1994","7283","Retiré"
"FL48904","115","28.73","Williams, Ortiz and Christensen Airlines","2017","11128","Retiré"
"FL14760","247","12.76","Butler-Luna Airlines","2001","10197","Actif"
"FL51327","246","97.38","Thomas-Harris Airlines","2020","2960","Maintenance"
"FL63560","190","30.43","White, Smith and Wiggins Airlines","2004","12654","Retiré"
"FL19494","139","15.31","Lewis Inc Airlines","2022","11405","Actif"
"FL64677","203","56.43","Stanley-Taylor Airlines","2008","2099","Retiré"
"FL08677","244","38.71","Myers LLC Airlines","2017","7402","Maintenance"
"FL67384","178","22.67","Ward LLC Airlines","2024","5288","Maintenance"
"FL99379","281","43.06","Rodgers and Sons Airlines","2021","4387","Actif"
"FL13891","166","76.74","Sanchez, Sullivan and Kirby Airlines","2025","11870","Actif"
"FL80619","390","67.97","Ortiz-Villanueva Airlines","2022","4741","Retiré"
"FL19119","224","36.86","Gentry-Malone Airlines","1999","13579","Retiré"
"FL64362","161","28.27","Phillips, Farrell and Greene Airlines","2023","2568","Maintenance"
"FL23890","155","50.95","Farley Inc Airlines","2015","14802","Retiré"
"FL67913","185","27.78","Bowers Ltd Airlines","2018","6773","Retiré"
"FL48231","308","83.1","Hughes, Taylor and Coleman Airlines","1999","11881","Maintenance"
"FL06177","167","77.12","Spencer-Hanson Airlines","2004","7499","Actif"
"FL55103","392","98.38","Martinez-Garner Airlines","2009","7026","Retiré"
"FL98117","382","28.59","Oneill, Mann and Barrett Airlines","1997","9973","Actif"
"FL08487","103","79.04","Rogers-Webster Airlines","2024","8455","Maintenance"
"FL36237","255","37.63","Nichols-Duke Airlines","2006","12628","Actif"
"FL89966","303","81.68","Perry-Ortiz Airlines","1992","3648","Retiré"
"FL74157","118","45.59","Mills-Bennett Airlines","2004","6712","Maintenance"
"FL38499","317","94.93","Wilson Ltd Airlines","2017","12916","Retiré"
"FL58729","206","11.78","Smith-Mckenzie Airlines","2013","11542","Maintenance"
"FL07947","247","63.99","Cantu-Gardner Airlines","2016","8856","Actif"
"FL05808","272","94.6","Wright Group Airlines","2014","13920","Retiré"
"FL17215","165","56.78","Smith and Sons Airlines","2021","5323","Actif"
"FL32062","237","42.71","Krueger, Ryan and Shaw Airlines","2015","4426","Maintenance"
"FL64841","194","57.61","Smith Ltd Airlines","2008","8839","Maintenance"
"FL52104","191","39.87","Pierce-Fields Airlines","1996","6146","Retiré"
"FL60395","293","99.43","Guzman and Sons Airlines","1994","6994","Maintenance"
"FL58405","397","25.97","Zamora-Rodriguez Airlines","2025","11024","Actif"
"FL19267","291","15.69","Taylor-Grant Airlines","2008","6489","Actif"
"FL83327","341","30.0","Guzman, Chung and Hendricks Airlines","2010","2121","Maintenance"
"FL84967","388","65.37","Reyes Ltd Airlines","2002","2582","Maintenance"
"FL40074","298","49.68","Salazar-Lee Airlines","1995","7840","Retiré"
"FL34403","323","98.61","Peterson, Thomas and Reed Airlines","2014","13566","Actif"
"FL13251","361","98.96","James and Sons Airlines","2011","10605","Maintenance"
"FL28645","102","59.37","Johnson-Thomas Airlines","2009","2969","Maintenance"
"FL25504","100","60.24","Hayes, Skinner and Castro Airlines","2001","10817","Actif"
"FL38439","252","29.04","Taylor-Hill Airlines","2004","12352","Retiré"
"FL85198","359","61.29","Howard, Zamora and Villarreal Airlines","1997","5305","Maintenance"
"FL96602","127","81.26","Spencer-Smith Airlines","1993","13400","Actif"
"FL01156","130","91.16","Jones, Jimenez and Love Airlines","2012","13857","Actif"
"FL81262","126","31.22","Williams, Valencia and Jimenez Airlines","2010","7476","Actif"
"FL96638","138","91.26","Warner Group Airlines","2023","7163","Actif"
"FL19514","230","90.09","Hopkins-Mayo Airlines","2015","8943","Actif"
"FL64679","165","74.71","Elliott, Reid and Booth Airlines","2009","4125","Actif"
"FL06014","248","54.54","Davis LLC Airlines","2021","2011","Retiré"
"FL31297","346","72.04","Park, Weiss and Weber Airlines","2025","3032","Retiré"
"FL54759","377","73.19","Kelly, Berg and Drake Airlines","2006","7030","Actif"
"FL82633","120","42.92","Leonard-Vargas Airlines","2023","11272","Actif"
"FL63519","295","81.22","Harrison Inc Airlines","2002","14704","Actif"
"FL73497","244","52.33","Barr-Richardson Airlines","2009","6589","Actif"
"FL23666","290","13.0","Griffith, Ortiz and Carter Airlines","2024","7857","Actif"
"FL58692","312","17.76","Hurst-Johnson Airlines","1991","10587","Retiré"
"FL57029","236","77.62","Nichols-Moore Airlines","2011","8206","Retiré"
"FL01538","309","22.48","Atkins, Coleman and Caldwell Airlines","1990","6069","Retiré"
"FL56663","396","80.95","Jackson-Hess Airlines","2013","4983","Retiré"
"FL63525","343","71.22","Williams, Mathews and Anderson Airlines","2005","9706","Retiré"
"FL79636","159","15.05","Dudley-Jones Airlines","2015","3606","Actif"
"FL60442","144","91.56","Lozano Inc Airlines","2014","11500","Actif"
"FL24728","234","42.62","Sims PLC Airlines","2022","13996","Retiré"
"FL94736","245","61.15","Hughes-White Airlines","2007","8153","Actif"
"FL46289","348","82.87","Hopkins Ltd Airlines","2022","7095","Retiré"
"FL07003","345","70.16","Norris PLC Airlines","1997","4898","Retiré"
"FL99436","176","58.48","Miller, Smith and Mccall Airlines","2014","13255","Retiré"
"FL22386","357","53.51","Schneider, Hartman and Dalton Airlines","1992","13029","Maintenance"
"FL74213","122","58.56","Vargas, Nguyen and Estrada Airlines","2024","10614","Retiré"
"FL17165","211","77.43","Jacobs-Anderson Airlines","2020","9313","Retiré"
