flight_id,origin,destination,date,airline,delay_min
90,CKI,NAI,2024-01-30,Alaska,20
91,WIR,LKH,2024-01-03,Spirit,11
92,GKR,FGY,2024-03-14,Delta,29
93,PSF,QAH,2024-01-23,Southwest,0
94,OGW,WAS,2024-02-26,American,3
95,GFY,EYC,2024-02-25,Alaska,2
96,SIE,NAI,2024-03-01,American,0
97,QPD,OFP,2024-02-11,Alaska,15
98,GYW,PNW,2024-02-12,Southwest,15
99,GGO,GDX,2024-02-06,Alaska,10
100,RNG,PSF,2024-03-11,Delta,5
101,AFQ,NAI,2024-02-10,American,0
102,MFK,LLM,2024-02-21,Spirit,1
103,UQG,XVC,2024-03-25,Spirit,3
104,GCH,YWE,2024-02-22,Delta,0
105,VHB,OGW,2024-02-16,JetBlue,6
106,QAH,GDX,2024-03-21,Southwest,18
107,PSF,USN,2024-01-27,American,47
108,PSB,KPN,2024-02-06,Southwest,13
109,YDD,SIE,2024-01-16,Delta,15
110,WYC,FHC,2024-01-31,Alaska,8
111,PNW,CQU,2024-03-11,Delta,0
112,PSB,QPD,2024-01-12,United,9
113,LLM,YWE,2024-01-16,Alaska,11
114,WJE,GDX,2024-02-07,JetBlue,59
115,QGM,FGY,2024-02-23,Spirit,6
116,KFZ,HZP,2024-02-01,Southwest,16
117,PSB,GUL,2024-02-19,United,9
118,KBJ,UQG,2024-01-18,Spirit,0
119,KYZ,MBT,2024-02-23,American,32
120,QCL,FGY,2024-01-01,American,25
121,FXW,UEC,2024-03-16,JetBlue,25
122,GPX,SIE,2024-01-20,Southwest,0
123,GPQ,KFZ,2024-02-14,American,38
124,PSB,PSF,2024-03-10,Southwest,0
125,AFQ,MFK,2024-01-25,Alaska,21
126,VSP,WIR,2024-02-19,United,53
127,ZQO,QPD,2024-01-06,American,0
128,LHA,HZP,2024-03-31,Spirit,0
129,XWH,QJJ,2024-03-25,Spirit,11
130,WAS,WJE,2024-03-04,Delta,0
131,KPN,QCL,2024-03-16,American,0
132,IPF,VAU,2024-01-13,JetBlue,11
133,AFQ,VHR,2024-01-19,Southwest,0
134,WAS,WJE,2024-01-10,Southwest,19
135,RVU,NCB,2024-03-20,Alaska,0
136,SEJ,WAS,2024-01-11,Spirit,40
137,OFP,GKR,2024-03-09,Southwest,0
138,ZRA,WYC,2024-03-03,Spirit,3
139,GCH,LFO,2024-03-20,Delta,26
140,VSP,WYC,2024-03-28,American,0
141,TDM,LHA,2024-01-12,Southwest,14
142,IPF,PSF,2024-03-22,Alaska,36
143,IPF,VAU,2024-01-22,Alaska,0
144,UEC,CKI,2024-01-06,American,13
145,GYL,OMU,2024-02-15,American,15
146,XCK,GUL,2024-02-01,JetBlue,25
147,QPD,FDY,2024-03-28,Spirit,0
148,GFY,CWP,2024-01-23,Delta,0
149,KXL,XWH,2024-03-20,Alaska,20
150,VSP,GDX,2024-03-15,United,15
151,TDM,YWE,2024-03-22,American,15
152,AFQ,ZBF,2024-03-26,Delta,16
153,YWE,VQW,2024-03-27,JetBlue,0
154,PNW,ZNZ,2024-02-26,American,14
155,LKH,UEC,2024-03-22,Southwest,15
156,GGO,ZBF,2024-02-28,Spirit,0
157,UEC,BLZ,2024-02-19,Spirit,47
158,KFZ,GYW,2024-01-31,Southwest,19
159,WIR,SRZ,2024-03-14,American,0
160,YDD,OMU,2024-01-03,Spirit,23
161,GPX,SEJ,2024-02-05,Delta,0
162,FDY,YIC,2024-01-07,JetBlue,25
163,LHA,GDX,2024-02-06,Spirit,33
164,TDM,FHC,2024-02-15,United,0
165,QPE,VHB,2024-03-20,American,29
166,GKR,QAH,2024-03-25,Alaska,18
167,ZQL,WYC,2024-01-13,Alaska,26
168,WOB,AFN,2024-02-09,Spirit,47
169,VAU,LFO,2024-03-15,American,5
170,YFS,KPN,2024-01-12,American,0
171,MFK,LHA,2024-02-23,United,0
172,BLZ,KPN,2024-03-10,American,0
173,AYW,QCL,2024-02-04,Spirit,8
174,CWP,ZBF,2024-03-02,Spirit,16
175,OMU,LHA,2024-02-13,Spirit,15
176,LLM,YWE,2024-01-10,United,26
177,QAH,OTB,2024-03-27,Alaska,10
178,GKR,SEJ,2024-03-12,American,39
179,NAI,SEJ,2024-01-02,American,4
180,GPQ,FAI,2024-02-28,American,64
181,GKR,LHA,2024-03-27,American,22
182,EYC,XWH,2024-03-22,American,0
183,GYW,GKR,2024-01-30,Southwest,0
184,CKI,ZJO,2024-03-12,American,19
185,KXL,OTB,2024-03-23,Delta,5
186,QPE,YWE,2024-03-30,American,24
187,WAS,QPD,2024-01-15,United,19
188,AFN,LFO,2024-02-08,Southwest,8
189,LLM,IPF,2024-01-31,JetBlue,0
190,ZQL,QJJ,2024-02-28,American,0
191,HIT,LHA,2024-03-30,JetBlue,1
192,EPR,LKH,2024-01-20,Southwest,27
193,WAS,IPF,2024-03-03,JetBlue,14
194,QPD,MBT,2024-01-05,Alaska,0
195,FTR,ZVZ,2024-02-26,Southwest,13
196,VSP,ABW,2024-01-13,Alaska,17
197,FTR,GCH,2024-03-23,American,0
198,GYL,SEJ,2024-02-05,United,13
199,FAI,AFQ,2024-01-12,Alaska,11
200,ZVZ,WOB,2024-03-22,JetBlue,0
201,SFI,USN,2024-02-12,United,17
202,KPN,FDY,2024-01-27,Delta,21
203,PSF,PSB,2024-01-27,JetBlue,31
204,ZVZ,TDM,2024-02-12,Spirit,31
205,GUL,KBJ,2024-01-01,American,0
206,GUL,KPN,2024-03-10,American,0
207,NDF,LLM,2024-03-25,Spirit,20
208,CKI,KPN,2024-01-02,American,20
209,VSP,LKH,2024-02-11,Delta,20
210,NDF,RVU,2024-01-07,United,87
211,TOU,EPR,2024-03-08,Delta,21
212,LHA,KYZ,2024-03-01,Southwest,32
213,ZQO,ABW,2024-03-06,JetBlue,29
214,GYW,OSE,2024-03-05,United,23
215,KXL,AFN,2024-03-25,JetBlue,3
216,UEC,AFQ,2024-03-23,Delta,25
217,GYL,KFZ,2024-02-21,Southwest,0
218,YIC,GYW,2024-03-03,Alaska,5
219,VAU,ZNZ,2024-01-11,American,0
220,FHC,GUL,2024-01-09,United,11
221,MBT,ZJO,2024-03-22,JetBlue,56
222,PSB,GNE,2024-02-11,Southwest,0
223,KBJ,AYW,2024-02-07,Southwest,23
224,QCL,FHC,2024-02-25,Delta,0
225,YDD,LLM,2024-03-24,Alaska,0
226,TOL,PSB,2024-01-28,Southwest,31
227,OSE,TDM,2024-02-22,American,11
228,AFQ,RNG,2024-02-23,Alaska,0
229,IPF,ZRA,2024-02-24,American,0
230,HIT,ZBF,2024-02-17,United,23
231,YIC,HZP,2024-01-09,Delta,0
232,LYW,NAI,2024-02-25,Delta,14
233,LHA,TOU,2024-02-17,Spirit,10
234,KPN,COH,2024-01-08,JetBlue,0
235,COH,OFP,2024-03-26,Delta,52
236,QPD,SRZ,2024-03-26,Spirit,22
237,WGE,FXW,2024-01-07,American,0
238,KBJ,CQU,2024-02-15,Delta,13
239,WIR,QCL,2024-01-28,United,0
240,GPX,KFZ,2024-01-29,Spirit,27
241,GYW,BGR,2024-03-12,American,0
242,LLM,PSF,2024-02-05,JetBlue,7
243,OTB,WGE,2024-03-12,Spirit,20
244,ZJO,KXL,2024-03-27,Alaska,27
245,COH,CKI,2024-03-18,Alaska,0
246,GGO,FGY,2024-01-04,United,3
247,FGY,YDD,2024-02-09,American,0
248,BGR,XVC,2024-01-24,Spirit,0
249,GUL,FDY,2024-03-25,Southwest,45
250,KYZ,GUL,2024-03-22,Delta,18
251,NAI,LHA,2024-03-08,United,0
252,XWH,EPR,2024-02-28,American,28
253,PNW,FTR,2024-02-09,Alaska,52
254,MFK,ZQO,2024-03-13,JetBlue,30
255,LYW,USN,2024-01-20,United,0
256,QAH,ZJO,2024-01-07,Alaska,0
257,LYW,FGY,2024-02-26,Alaska,35
258,WGE,SIE,2024-03-18,Southwest,0
259,EPR,FGY,2024-01-28,Spirit,18
260,UQG,LLM,2024-02-14,Southwest,25
261,LLM,VQW,2024-03-27,Alaska,0
262,LKH,SIE,2024-03-08,Alaska,8
263,CQU,AFN,2024-01-29,Southwest,0
264,KBJ,GYL,2024-01-01,United,0
265,UEC,ZVZ,2024-01-18,Spirit,4
266,ZBF,OMU,2024-02-11,Delta,0
267,XVC,GDX,2024-02-25,United,42
268,KPN,XWH,2024-03-09,Alaska,0
269,TDM,QCL,2024-03-12,Spirit,1
270,HIT,SRZ,2024-01-10,Southwest,12
271,TOU,AFN,2024-02-25,Delta,38
272,AFQ,ZNZ,2024-02-10,JetBlue,0
273,WGE,WIR,2024-02-21,Alaska,33
274,QPE,EPR,2024-02-07,Delta,10
275,RNG,SFI,2024-02-11,United,0
276,ZJO,AFQ,2024-03-29,American,19
277,NAI,XCK,2024-01-14,United,13
278,XCK,LKH,2024-02-21,JetBlue,0
279,LYW,SEJ,2024-02-09,Alaska,11
280,NCB,OTB,2024-02-12,Spirit,2
281,CWP,ZNZ,2024-03-06,Alaska,12
282,LLM,AYW,2024-03-06,United,23
283,ZQO,BGR,2024-02-14,Alaska,41
284,WOB,GUL,2024-01-31,Delta,0
285,GUL,ZBF,2024-01-26,United,52
286,FHC,WJE,2024-03-24,Delta,0
287,NDF,TOL,2024-03-21,Southwest,6
288,YWE,QAH,2024-03-13,Spirit,21
289,EYC,OSE,2024-03-28,JetBlue,15
290,WOB,QPE,2024-03-20,American,0
291,WYC,ZRA,2024-01-20,Southwest,5
292,KYZ,HZP,2024-02-26,Alaska,0
293,UEC,MBT,2024-03-16,Delta,0
294,SRZ,QCL,2024-01-10,American,26
295,YWE,OSE,2024-01-05,Delta,17
296,FTR,VQW,2024-01-10,Alaska,0
297,NAI,KXL,2024-03-17,JetBlue,27
298,QJJ,YWE,2024-03-15,JetBlue,16
299,TOU,AFN,2024-02-27,Spirit,26
300,WIR,WAS,2024-01-25,American,22
301,FHC,HZP,2024-03-05,United,0
302,GYL,OSE,2024-01-14,Spirit,0
303,NCB,GNE,2024-01-11,JetBlue,24
304,WOB,NDF,2024-01-06,United,22
305,QGM,VAU,2024-02-26,JetBlue,9
306,OGW,KXL,2024-01-21,American,12
307,FTR,VQW,2024-02-19,Southwest,35
308,ZQO,NCB,2024-03-27,JetBlue,0
309,USN,WYC,2024-03-23,American,20
310,KYZ,OFP,2024-01-13,JetBlue,5
311,GKR,QJJ,2024-02-06,American,5
312,FXW,GPX,2024-03-18,Spirit,31
313,WJE,OFP,2024-01-11,JetBlue,26
314,GPX,GUL,2024-02-14,American,26
315,WAS,YDD,2024-03-25,Southwest,36
316,KPN,KBJ,2024-03-31,Delta,10
317,CQU,COH,2024-02-18,Alaska,23
318,OFP,KPN,2024-03-26,Alaska,3
319,TOU,YIC,2024-03-08,Delta,16
320,WOB,HIT,2024-02-24,JetBlue,7
321,ABW,SFI,2024-02-16,American,11
322,GFY,ZVZ,2024-02-13,Spirit,21
323,SIE,VHB,2024-01-29,United,0
324,WJE,ZNZ,2024-02-07,Spirit,51
325,IPF,QCL,2024-03-10,Spirit,0
326,TOU,AYW,2024-01-05,Alaska,0
327,NCB,TOL,2024-03-20,United,33
328,KBJ,XWH,2024-01-20,United,25
329,GFY,GGO,2024-03-20,Spirit,22
330,CWP,FXW,2024-02-26,Delta,22
331,QPD,ABW,2024-03-27,Alaska,9
332,VSP,VAU,2024-03-19,American,0
333,QAH,LHA,2024-02-27,United,11
334,GPQ,VSP,2024-02-09,Spirit,0
335,HZP,VHB,2024-02-17,Alaska,29
336,WIR,VAU,2024-02-29,Spirit,7
337,VQW,ZQO,2024-02-18,JetBlue,0
338,AYW,EPR,2024-01-21,Spirit,3
339,BLZ,FHC,2024-01-18,Spirit,18
340,ZBF,USN,2024-03-23,Southwest,0
341,FTR,PSB,2024-01-14,Alaska,0
342,OGW,FAI,2024-02-06,Delta,14
343,PSF,PNW,2024-02-04,Southwest,14
344,UQG,GUL,2024-02-25,Delta,0
345,OTB,OSE,2024-02-14,Delta,0
346,EPR,USN,2024-02-20,JetBlue,14
347,FTR,VSP,2024-02-19,Delta,0
348,FTR,OTB,2024-01-04,American,0
349,IPF,GNE,2024-03-24,American,0
350,GUL,ZQL,2024-01-05,American,5
351,HZP,YDD,2024-01-18,Spirit,16
352,QGM,HZP,2024-02-27,JetBlue,39
353,XVC,LYW,2024-01-03,American,27
354,ZVZ,WJE,2024-03-11,Alaska,6
355,FHC,AYW,2024-02-24,Delta,9
356,ZQO,VQW,2024-01-31,American,0
357,FAI,USN,2024-01-31,Southwest,9
358,QPE,ZJO,2024-02-28,Delta,4
359,LLM,GDX,2024-03-17,JetBlue,16
360,SFI,WYC,2024-03-06,JetBlue,0
361,VSP,GNE,2024-01-19,American,20
362,WGE,XVC,2024-03-19,American,40
363,VSP,WIR,2024-02-23,United,7
364,HIT,LYW,2024-03-08,American,18
365,KYZ,AYW,2024-03-10,JetBlue,23
366,QCL,PSB,2024-01-03,Southwest,1
367,HZP,AFN,2024-03-22,Southwest,14
368,FTR,ZBF,2024-01-03,American,10
369,KYZ,BGR,2024-01-31,Alaska,11
370,GPX,WYC,2024-01-14,Spirit,0
371,EYC,TOU,2024-02-12,United,10
372,AFN,SRZ,2024-03-10,American,19
373,WOB,NDF,2024-03-28,Southwest,39
374,YDD,KFZ,2024-03-21,United,29
375,ZQL,KYZ,2024-02-28,Delta,53
376,OMU,BLZ,2024-01-06,Spirit,0
377,BLZ,AFN,2024-02-10,American,27
378,UQG,SEJ,2024-03-10,Southwest,13
379,ZBF,LFO,2024-03-23,United,53
380,VQW,SRZ,2024-01-07,Spirit,0
381,WAS,OFP,2024-02-04,Delta,0
382,FTR,XCK,2024-02-21,Alaska,0
383,VAU,QJJ,2024-02-13,United,0
384,GDX,GGO,2024-03-04,American,0
385,OGW,FGY,2024-01-11,Alaska,0
386,WGE,LYW,2024-02-25,JetBlue,13
387,GFY,GCH,2024-02-07,American,16
388,GYW,LYW,2024-02-11,Alaska,47
389,OMU,CQU,2024-02-27,JetBlue,29
390,GNE,WGE,2024-01-22,Alaska,0
391,VAU,BGR,2024-02-27,Delta,0
392,YFS,SRZ,2024-03-19,Southwest,19
393,MBT,QPE,2024-01-08,Delta,0
394,HIT,QPE,2024-02-21,American,46
395,UQG,LHA,2024-03-27,United,33
396,CKI,GUL,2024-03-18,Alaska,0
397,VAU,LFO,2024-01-17,Delta,0
398,VSP,ZQO,2024-03-23,American,37
399,ABW,QJJ,2024-03-13,Delta,7
400,FHC,WJE,2024-03-27,Southwest,34
401,FTR,VAU,2024-01-10,JetBlue,0
402,ZQL,AYW,2024-02-16,Southwest,0
403,ZRA,WAS,2024-02-05,United,10
404,LLM,CKI,2024-01-24,Southwest,10
405,OGW,QJJ,2024-03-12,Delta,0
406,RVU,ZQO,2024-02-03,Alaska,22
407,OSE,ZVZ,2024-03-19,American,0
408,GGO,SIE,2024-01-26,Delta,7
409,ZQL,ZNZ,2024-02-27,United,12
410,GNE,VAU,2024-01-12,Spirit,20
411,YIC,ZRA,2024-03-26,American,24
412,QGM,KYZ,2024-03-11,JetBlue,0
413,OMU,UEC,2024-01-21,Alaska,0
414,QGM,YDD,2024-03-22,United,35
415,ABW,UQG,2024-01-29,Delta,16
416,BLZ,ZQL,2024-01-31,Spirit,0
417,GDX,CKI,2024-02-16,JetBlue,41
418,WIR,FTR,2024-02-29,Spirit,12
419,PSB,KPN,2024-03-19,Delta,33
420,KYZ,CQU,2024-02-20,Alaska,11
421,FXW,KFZ,2024-03-08,Southwest,51
422,TOL,QPD,2024-03-14,Delta,45
423,KPN,ZRA,2024-03-23,Delta,5
424,OSE,YWE,2024-03-28,JetBlue,29
425,BGR,KPN,2024-03-11,Alaska,22
426,LKH,GFY,2024-01-17,Southwest,37
427,QCL,GYL,2024-01-16,JetBlue,0
428,WJE,UEC,2024-01-22,United,23
429,MFK,QGM,2024-01-29,American,31
430,OGW,VQW,2024-01-11,American,0
431,BLZ,QPE,2024-03-11,American,0
432,KPN,WYC,2024-02-08,JetBlue,0
433,GPQ,NAI,2024-03-05,Alaska,4
434,CWP,LKH,2024-03-15,United,24
435,CWP,GPX,2024-03-20,Alaska,40
436,FHC,NCB,2024-03-13,Delta,11
437,CKI,LYW,2024-01-06,Alaska,42
438,TOL,WIR,2024-02-03,Alaska,0
439,FBQ,TOL,2024-03-14,Southwest,0
440,ZJO,QPE,2024-01-04,Southwest,8
441,WYC,GCH,2024-02-07,Alaska,17
442,UEC,KFZ,2024-02-01,Spirit,9
443,YIC,RNG,2024-02-08,Southwest,0
444,ZNZ,GGO,2024-01-08,United,8
445,VAU,EPR,2024-03-02,Southwest,0
446,FBQ,NCB,2024-03-18,United,23
447,ZRA,GNE,2024-02-10,Alaska,17
448,BGR,RNG,2024-01-17,Spirit,0
449,FTR,UQG,2024-03-12,Delta,0
450,ZRA,VSP,2024-02-29,Delta,0
451,FGY,OSE,2024-02-01,United,8
452,IPF,USN,2024-02-07,Southwest,29
453,KXL,EPR,2024-02-01,Spirit,0
454,PNW,MFK,2024-03-14,Alaska,20
455,ZRA,VHB,2024-01-21,Southwest,0
456,UQG,YWE,2024-03-04,American,0
457,GDX,SFI,2024-01-12,Southwest,7
458,QCL,AFQ,2024-01-31,United,0
459,EYC,SRZ,2024-01-07,Delta,0
460,VQW,GDX,2024-03-17,Spirit,0
461,WAS,GKR,2024-03-01,American,49
462,GPQ,VHR,2024-01-14,Southwest,10
463,ZQL,RVU,2024-02-16,Spirit,0
464,RNG,ABW,2024-01-06,Southwest,14
465,USN,FDY,2024-03-12,United,7
466,ABW,PSB,2024-02-06,Delta,5
467,QJJ,QCL,2024-02-27,Spirit,22
468,PSB,MBT,2024-03-20,Alaska,25
469,KXL,FAI,2024-01-17,Delta,0
470,SEJ,FTR,2024-02-13,JetBlue,0
471,ABW,QAH,2024-01-19,United,4
472,FHC,UQG,2024-02-21,JetBlue,0
473,AFN,LFO,2024-01-18,Alaska,0
474,OFP,HZP,2024-03-07,Southwest,37
475,WJE,FHC,2024-03-06,United,42
476,MFK,KXL,2024-02-10,United,5
477,SEJ,KXL,2024-02-08,JetBlue,21
478,NCB,QCL,2024-03-06,JetBlue,16
479,SIE,QGM,2024-03-13,American,71
480,HZP,SFI,2024-02-17,American,32
481,GKR,LLM,2024-02-23,JetBlue,7
482,CQU,FXW,2024-03-29,Alaska,0
483,CKI,KBJ,2024-03-01,American,0
484,WAS,ZQO,2024-03-15,JetBlue,14
485,TDM,FXW,2024-01-07,JetBlue,0
486,KFZ,CWP,2024-03-08,Alaska,0
487,FXW,ZJO,2024-02-18,United,0
488,YIC,BJZ,2024-01-05,JetBlue,0
489,YDD,LLM,2024-01-25,Delta,43
490,VAU,ZRA,2024-02-23,United,27
491,QPD,GGO,2024-01-27,Southwest,9
492,QCL,ZQO,2024-03-19,Southwest,39
493,TOU,YFS,2024-01-08,Alaska,11
494,ZQL,OGW,2024-01-27,JetBlue,0
495,MFK,GPX,2024-03-02,JetBlue,40
496,XWH,ZRA,2024-01-23,Southwest,20
497,GPQ,NCB,2024-03-10,American,0
498,GKR,TOL,2024-03-28,Alaska,6
499,GGO,RVU,2024-03-19,Southwest,0
500,VHB,BJZ,2024-02-05,JetBlue,0
501,UEC,OTB,2024-02-08,Spirit,28
502,VQW,QGM,2024-01-27,Alaska,48
503,QGM,SIE,2024-02-10,Southwest,0
504,BGR,COH,2024-02-05,American,21
505,FAI,WIR,2024-03-27,JetBlue,0
506,XWH,SEJ,2024-02-14,Spirit,0
507,GUL,OMU,2024-01-06,American,0
508,GNE,LYW,2024-02-14,Southwest,0
509,WAS,ZBF,2024-03-02,United,10
510,BLZ,GPQ,2024-02-04,JetBlue,0
511,YDD,FGY,2024-01-18,Delta,15
512,KXL,TOU,2024-03-16,United,8
513,BJZ,USN,2024-03-26,JetBlue,5
514,OTB,QPE,2024-01-30,Delta,0
515,IPF,QPD,2024-02-12,Alaska,0
516,HZP,IPF,2024-03-28,Spirit,25
517,ZQL,XVC,2024-03-11,United,20
518,QPD,WAS,2024-03-01,Southwest,0
519,WAS,BLZ,2024-02-06,American,11
520,VQW,WOB,2024-01-08,Spirit,25
521,NAI,WAS,2024-03-14,United,0
522,GPQ,TOU,2024-01-05,United,20
523,EPR,NDF,2024-01-05,Spirit,0
524,SEJ,GDX,2024-01-24,Alaska,21
525,OMU,LFO,2024-01-02,American,0
526,FDY,FHC,2024-01-14,American,0
527,VQW,AFQ,2024-03-23,JetBlue,0
528,AYW,GDX,2024-01-18,Spirit,10
529,QCL,YWE,2024-02-04,United,15
530,LLM,OFP,2024-01-21,Alaska,0
531,AFQ,WOB,2024-02-02,Alaska,22
532,GFY,VHR,2024-02-13,Spirit,0
533,OMU,FDY,2024-03-27,Spirit,8
534,VHB,NDF,2024-03-19,Spirit,0
535,QPE,RNG,2024-02-24,JetBlue,0
536,MFK,NAI,2024-02-21,Alaska,10
537,IPF,GFY,2024-01-18,Southwest,0
538,MFK,BJZ,2024-01-01,American,2
539,QJJ,VSP,2024-02-27,Spirit,30
540,FGY,OFP,2024-02-08,JetBlue,0
541,FXW,WIR,2024-01-02,American,26
542,WAS,ABW,2024-03-29,United,0
543,GYL,HIT,2024-01-16,Southwest,20
544,CQU,PNW,2024-02-21,Alaska,38
545,QCL,QGM,2024-02-09,Alaska,0
546,FAI,QPE,2024-02-07,American,0
547,KXL,OTB,2024-01-29,United,21
548,KFZ,WJE,2024-02-28,Alaska,5
549,FHC,FTR,2024-02-23,Alaska,17
550,PSB,HZP,2024-03-09,Spirit,0
551,HIT,ZVZ,2024-02-01,Alaska,11
552,QAH,KBJ,2024-01-11,JetBlue,6
553,OSE,AYW,2024-03-31,American,33
554,ZNZ,FDY,2024-01-15,Delta,15
555,PSB,QCL,2024-01-26,JetBlue,16
556,GPQ,WJE,2024-01-22,American,1
557,OGW,VAU,2024-01-15,Alaska,0
558,FBQ,GNE,2024-03-15,Southwest,1
559,NAI,UQG,2024-02-27,Spirit,17
560,GYL,AFQ,2024-01-17,JetBlue,1
561,EPR,AFQ,2024-03-13,Delta,15
562,COH,YWE,2024-03-27,Spirit,51
563,CQU,FXW,2024-01-03,Southwest,27
564,ZBF,XVC,2024-01-28,JetBlue,3
565,ZNZ,AFN,2024-02-24,American,34
566,YDD,KYZ,2024-03-10,Delta,1
567,KYZ,HZP,2024-01-05,American,0
568,QPD,GFY,2024-01-18,Spirit,0
569,WOB,YFS,2024-03-23,Southwest,0
570,FTR,XWH,2024-02-27,Spirit,2
571,XWH,LYW,2024-03-28,Alaska,10
572,GCH,ZQL,2024-03-24,Spirit,43
573,BGR,FAI,2024-01-23,JetBlue,16
574,SEJ,AYW,2024-01-17,Alaska,5
575,OTB,XVC,2024-01-03,American,26
576,YWE,GKR,2024-03-10,Southwest,0
577,GPQ,XWH,2024-01-30,United,14
578,AFQ,BGR,2024-01-20,American,25
579,VHB,FXW,2024-01-15,Delta,0
580,GPX,EPR,2024-03-19,Spirit,32
581,SFI,VSP,2024-01-27,Delta,16
582,IPF,KBJ,2024-01-05,Southwest,1
583,KBJ,GKR,2024-03-31,Spirit,22
584,USN,BJZ,2024-01-06,Southwest,55
585,VAU,TDM,2024-03-10,United,13
586,QAH,ZQO,2024-01-08,United,14
587,QCL,OMU,2024-01-30,Spirit,0
588,YFS,WIR,2024-02-10,JetBlue,0
589,KBJ,TOL,2024-03-27,Spirit,26
590,MFK,VSP,2024-02-08,United,0
591,GPX,OGW,2024-01-29,Southwest,11
592,UEC,MBT,2024-01-08,JetBlue,0
593,LKH,TOU,2024-01-23,Alaska,19
594,GKR,WGE,2024-03-12,Southwest,16
595,USN,BGR,2024-03-23,Alaska,30
